embed_dim,hidden_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
64,64,2,0.2,0.001,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5919354838709677,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5833333333333334
128,256,1,0.2,0.0003,16,False,6,2,roc_auc,0.4788732394366197,0.453125,0.9354838709677419,0.6105263157894737,0.5903225806451613,0.45000000000000007,0.5612244897959183,0.5287356321839081,0.9583333333333334,0.6814814814814815,0.5966666666666667
128,256,1,0.5,0.001,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5903225806451613,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5041666666666667
256,256,1,0.2,0.0005,16,False,6,2,roc_auc,0.5633802816901409,0.5,0.8709677419354839,0.6352941176470588,0.5903225806451613,0.45000000000000007,0.5306122448979592,0.5135135135135135,0.7916666666666666,0.6229508196721312,0.5383333333333333
64,256,2,0.2,0.001,16,False,6,2,roc_auc,0.6338028169014085,0.5675675675675675,0.6774193548387096,0.6176470588235294,0.5903225806451613,0.45000000000000007,0.5510204081632653,0.5357142857142857,0.625,0.5769230769230769,0.5479166666666666
256,256,2,0.5,0.0005,32,True,6,2,roc_auc,0.5070422535211268,0.46774193548387094,0.9354838709677419,0.6236559139784946,0.5903225806451613,0.375,0.5714285714285714,0.5340909090909091,0.9791666666666666,0.6911764705882353,0.6733333333333333
64,128,1,0.5,0.001,32,False,6,2,roc_auc,0.5492957746478874,0.4909090909090909,0.8709677419354839,0.627906976744186,0.5903225806451613,0.42500000000000004,0.5204081632653061,0.5063291139240507,0.8333333333333334,0.6299212598425197,0.6083333333333333
128,128,2,0.5,0.0003,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.589516129032258,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5833333333333333
64,64,2,0.5,0.0005,16,False,6,2,roc_auc,0.4647887323943662,0.44776119402985076,0.967741935483871,0.6122448979591837,0.589516129032258,0.45000000000000007,0.5306122448979592,0.5106382978723404,1.0,0.676056338028169,0.5379166666666667
256,64,1,0.5,0.001,32,False,6,2,roc_auc,0.5070422535211268,0.4666666666666667,0.9032258064516129,0.6153846153846154,0.5887096774193548,0.42500000000000004,0.5408163265306123,0.5168539325842697,0.9583333333333334,0.6715328467153284,0.6345833333333334
256,128,1,0.5,0.001,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5879032258064516,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6433333333333333
